,ja,en
216,社会,society
217,教育,education
218,事件,Case
219,特に,especially
220,卒業,graduation
221,役,Role
222,当初,Beginning
223,結果,result
224,選挙,selection
225,機関,institution
226,大きい,big
227,高等,High quality
228,獲得,Acquisition
229,政府,government
230,戦う,fight
231,中国,China
232,最初,first time
233,設立,Establishment
234,置く,put
235,種,seed
236,金,Money
237,建設,construction
238,派,Faction
239,続く,Continue
240,影響,Impact
241,文化,culture
242,科,Department
243,外,Outside
244,デビュー,debut
245,台,Stand
246,そして,and
247,航空,Aviation
248,村,village
249,政治,Politics
250,同様,Same
251,販売,sale
252,面,surface
253,異なる,different
254,担当,responsible person
255,最も,most
256,寺,temple
257,攻撃,attack
258,人口,population
259,ながら,While
260,及び,as well as
261,区,Ward
262,馬,Horse
263,プロ,Professional
264,経済,Economy
265,付ける,wear
266,地区,district
267,与える,give
268,それぞれ,Each
269,年間,Year
270,水,water
271,構成,Constitution
272,路線,Route
273,射る,shoot
274,アメリカ合衆国,united states of america
275,米,Rice
276,採用,Recruitment
277,伴う,Accompany
278,主義,Principle
279,上げる,increase
280,グループ,group
281,手,hand
282,システム,system
283,歴史,history
284,一方,on the other hand
285,元,Origin
286,県,prefecture
287,続ける,continue
288,技術,Technology
289,当たる,Hit
290,うち,home
291,公,public
292,発生,occurrence
293,製造,Manufacturing
294,自身,Themselves
295,車両,vehicle
296,光,light
297,話,Story
298,野球,baseball
299,調査,Research
300,船,ship
301,シングル,single
302,勝,Victory
303,列車,train
304,正,Positive
305,父,father
306,活躍,action
307,省,Ministry
308,終了,end
309,文,Sentence
310,初,first time
311,全国,Nationwide
312,収録,Recording
313,人物,person
314,ロシア,Russia
315,渡る,Be overwhelmed
316,制作,Production
317,就任,Appointment
318,最後,last
319,書く,write
320,下,under
321,エンジン,engine
322,状態,situation
323,かつて,Once
324,殆んど,Mostly
325,橋,bridge
326,決定,Decision
327,経る,Pass
328,組織,Organization
329,イタリア,Italy
330,朝,Morning
331,生産,production
332,果たす,Fulfill
333,株式,stock
334,海,Sea
335,神,God
336,年度,year
337,モデル,model
338,描く,draw
339,道路,road
340,制,Control
341,次,Next
342,但し,however
343,議員,Parliamentarians
344,部分,part
345,漫画,Comic
346,最大,maximum
347,名称,name
348,石,stone
349,員,Member
350,独立,Independence
351,書,book
352,施設,institution
353,県道,Prefectural road
354,始まる,Start
355,示す,show
356,以降,Or later
357,様々,various
358,大きな,big
359,クラブ,club
360,機能,function
361,天,Heaven
362,サッカー,soccer
363,部隊,Unit
364,搭載,powered by
365,初めて,first time
366,兵,Soldier
367,高校,high school
368,公開,Release
369,党,party
370,編成,Formation
371,運動,motion
372,量,amount
373,時期,season
374,センター,Center
375,製作,Production
376,藩,Clan
377,強い,strong
378,企業,Company
379,付く,Be attached
380,院,Hospital
381,店,shop
382,結ぶ,tie
383,目的,Purpose
384,通常,Normal
385,対応,correspondence
386,残る,Remain
387,勝利,victory
388,ホーム,home
389,至る,Get
390,団,Group
391,木,wood
392,最終,Final
393,基本,Basics
394,教授,Professor
395,ドラマ,Drama
396,挙げる,Give up
397,アニメ,animation
398,設計,design
399,実施,implementation
400,現,Present
401,長い,long
402,メンバー,member
403,領,Territory
404,交通,traffic
405,室,Room
406,協会,Association
407,女子,Girl
408,者,person
409,設定,Setting
410,発見,discover
411,契約,contract
412,信,Religion
413,英語,English
414,連合,Coalition
415,自動車,Car
416,指揮,Command
417,色,colour
418,自分,myself
419,及ぶ,Be
420,ラジオ,radio
421,歌,song
422,重,Heavy
423,規模,scale
424,移籍,Transfer
425,思う,think
426,廃止,abolition
427,名前,name
428,重要,important
429,成功,success
430,原,original
431,予定,schedule
432,特別,special
433,認める,Admit
434,キャラクター,character
435,巻,roll
436,最高,Best
437,加える,Add
438,ここ,Here
439,バンド,band
440,再び,again
441,武,Madness
442,実際,actual
443,そこ,There
444,似る,Resemble
445,組,set
446,運転,drive
447,専門,Specialty
448,出版,Publication
449,内容,Content
450,煎る,roast
451,個,Pieces
452,小学校,primary school
453,義,Righteousness
454,数,number
455,終わる,End
456,例,example
457,リリース,release
458,合わせる,match
459,大戦,War
460,科学,Science
461,運行,Operation
462,対,versus
463,北海道,Hokkaido
464,士,Man
465,ヨーロッパ,Europe
466,群,group
467,少ない,few
468,指定,specify
469,江戸,Edo
470,ところ,Some time
471,陸軍,Army
472,残す,leave
473,教会,Church
